Roma 
Gournia 
Gortyn 
Gythium 
Hagios Onouphrios 
Hagia Triada 
Halicarnassus 
Halieis 
Helike 
Heliopolis 
Hellespontos 
Helorus 
Hemeroskopeion 
Heraclea Perinthus 
Heraclea 
Heraclea by Latmus 
Heraclea Cybistra 
Heraclea Lyncestis 
Heraclea Minoa 
Heraclea Pontica 
Heraclea Sintica 
Heraclea Trachis 
Hermione 
Hermonassa 
Hierapetra 
Hierapolis 
Himera 
Histria 
Hubla Minor 
Hubla Gereatis 
Hubla Heraea 
Hyele 
Ialysos 
Iasus 
Idalium 
Imbros 
Iolcus 
Itanos 
Ithaca 
Juktas 
Kaiete 
Kallipolis 
Kamares 
Kameiros 
Kannia 
Kamarina 
Kasmenai 
Katane 
Kerkinitida 
Kepoi 
Kimmerikon 
Kios 
Klazomenai 
Knidos 
Knossos 
Korinthos 
Kos 
Kourion 
Kúme 
Kydonia 
Kynos 
Kyrenia 
Lamia 
Lampsacus 
Laodicea in Syria 
Laodicea on the Lycus 
Laodicea in Media 
Laodicea Combusta 
Laodicea ad Libanum 
Laodicea 
Laodicea Pontica 
Laodicea in Phoenicia 
Lapithos 
Larissa 
Lato 
Laüs 
Lebena 
Lefkada 
Lekhaion 
Leibethra 
Leontinoi 
Lepreum 
Lessa 
Lilaea 
Lindus 
Lissus 
Epizephyrian Locris 
Madytos 
Magnesia on the Maeander 
Magnesia ad Sipylum 
Mallia 
Mantineia 
Marathon 
Marmara 
Maroneia 
Masis 
Massalia 
Megalopolis 
Megara 
Megara Hublaea 
Mesembria 
Messene 
Metapontum 
Methana 
Methone 
Methumna 
Miletos 
Misenum 
Mochlos 
Monastiraki 
Morgantina 
Mulai 
Mukenai 
Mylasa 
Myndus 
Myonia 
Myra 
Myrmekion 
Mutilene 
Myos 
Nauplíos 
Naucratis 
Naupactus 
Naxos 
Neapoli 
Neapolis 
Nemea 
Nicaea 
Nicopolis 
Nirou Chani 
Nymphaion 
Nysa 
Oenoe 
Oenus 
Odessos 
Olbia 
Olous 
Olympia 
Olynthus 
Opus 
Orchomenus
Oricos 
Orestias 
Oreus 
Oropus 
Onchesmos 
Pactye 
Pagasae 
Palaikastro 
Pandosia 
Panticapaeum 
Paphos 
Parium 
Paros 
Parthenope 
Patrae 
Pavlopetri 
Pegai 
Pelion
Peiraieús 
Pella 
Percote 
Pergamum 
Petsofa 
Phaistos 
Pháleron 
Phanagoria 
Pharae 
Pharnacia 
Pharos 
Phaselis 
Philippi 
Pithekussa 
Philippopolis 
Platanos 
Phlius 
Pherae 
Phocaea 
Pinara 
Pisa 
Pitane 
Pitiunt 
Pixous 
Plataea 
Poseidonia 
Potidaea 
Priapus 
Priene 
Prousa 
Pseira 
Psychro 
Pteleum 
Pydna 
Pylos 
Pyrgos 
Rhamnus 
Rhegion
Rhithymna 
Rhodes 
Rhypes
Rizinia 
Salamis 
Same
Samos 
Scyllaeum 
Selinus 
Seleucia Pieria
Semasus 
Sestos 
Scidrus
Sicyon
Side 
Sidon 
Siteia 
Sinope
Siris
Sklavokampos 
Smyrna 
Soli 
Sozopolis 
Sparta 
Stagirus 
Stratos 
Stymphalos 
Sybaris 
Surakousai 
Taras
Tanagra 
Tanais 
Tauromenion
Tegea 
Temnos 
Tenedos 
Tenea 
Teos
Thapsos 
Thassos
Thebai 
Theodosia
Therma 
Thespiae 
Thronion 
Thoricus 
Thurii
Thyreum 
Thyria 
Tiruns 
Tithoraea 
Tomis 
Tragurion 
Trapeze 
Trapezus
Tripolis
Troizen
Troliton 
Troy 
Tylissos 
Tyras 
Tyros 
Tyritake
Vasiliki 
Vathypetros 
Zakynthos 
Zakros 
Zankle 
